Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,albidoflavus_J1074,albidoflavus_J1074_R2,albidoflavus_SM254,albidoflavus_UYFA156,albidoflavus_W68
paaA,,"1,2-phenylacetyl-CoA epoxidase, subunit A",5,5,1,1,225,,,,1055,1055,1055,albidoflavus_J1074_00590,albidoflavus_J1074_R2_00665,albidoflavus_SM254_00597,albidoflavus_UYFA156_00066,albidoflavus_W68_00050
group_352,,hypothetical protein,5,5,1,1,224,,,,248,257,253,albidoflavus_J1074_00591,albidoflavus_J1074_R2_00666,albidoflavus_SM254_00598,albidoflavus_UYFA156_00065,albidoflavus_W68_00049
group_353,,hypothetical protein,5,5,1,1,221,,,,3821,3821,3821,albidoflavus_J1074_00594,albidoflavus_J1074_R2_00669,albidoflavus_SM254_00601,albidoflavus_UYFA156_00062,albidoflavus_W68_00046
group_354,,hypothetical protein,5,5,1,1,218,,,,1310,1310,1310,albidoflavus_J1074_00596,albidoflavus_J1074_R2_00671,albidoflavus_SM254_00603,albidoflavus_UYFA156_00060,albidoflavus_W68_00043
group_356,,hypothetical protein,5,5,1,1,908,,,,3005,3023,3015,albidoflavus_J1074_00601,albidoflavus_J1074_R2_00676,albidoflavus_SM254_00608,albidoflavus_UYFA156_00053,albidoflavus_W68_00039
group_357,,hypothetical protein,5,5,1,1,910,,,,2822,2921,2882,albidoflavus_J1074_00603,albidoflavus_J1074_R2_00678,albidoflavus_SM254_00610,albidoflavus_UYFA156_00051,albidoflavus_W68_00037
afsR_2,,Regulatory protein AfsR,5,5,1,1,911,,,,1802,1802,1802,albidoflavus_J1074_00604,albidoflavus_J1074_R2_00679,albidoflavus_SM254_00611,albidoflavus_UYFA156_00050,albidoflavus_W68_00036
ramC_2,,putative SapB synthase,5,5,1,1,912,,,,2591,2591,2591,albidoflavus_J1074_00605,albidoflavus_J1074_R2_00680,albidoflavus_SM254_00612,albidoflavus_UYFA156_00049,albidoflavus_W68_00035
entS_2,,Enterobactin exporter EntS,5,5,1,1,913,,,,1343,1343,1343,albidoflavus_J1074_00606,albidoflavus_J1074_R2_00681,albidoflavus_SM254_00613,albidoflavus_UYFA156_00048,albidoflavus_W68_00034
group_361,,hypothetical protein,5,5,1,1,914,,,,167,167,167,albidoflavus_J1074_00607,albidoflavus_J1074_R2_00682,albidoflavus_SM254_00614,albidoflavus_UYFA156_00047,albidoflavus_W68_00033
group_362,,hypothetical protein,5,5,1,1,915,,,,1097,1097,1097,albidoflavus_J1074_00608,albidoflavus_J1074_R2_00683,albidoflavus_SM254_00615,albidoflavus_UYFA156_00046,albidoflavus_W68_00032
group_363,,hypothetical protein,5,5,1,1,916,,,,734,734,734,albidoflavus_J1074_00609,albidoflavus_J1074_R2_00684,albidoflavus_SM254_00616,albidoflavus_UYFA156_00045,albidoflavus_W68_00031
group_364,,hypothetical protein,5,5,1,1,917,,,,206,206,206,albidoflavus_J1074_00610,albidoflavus_J1074_R2_00685,albidoflavus_SM254_00617,albidoflavus_UYFA156_00044,albidoflavus_W68_00030
group_365,,hypothetical protein,5,5,1,1,918,,,,3143,3146,3144,albidoflavus_J1074_00611,albidoflavus_J1074_R2_00686,albidoflavus_SM254_00618,albidoflavus_UYFA156_00043,albidoflavus_W68_00029
group_366,,hypothetical protein,5,5,1,1,923,,,,314,314,314,albidoflavus_J1074_00616,albidoflavus_J1074_R2_00691,albidoflavus_SM254_00623,albidoflavus_UYFA156_00039,albidoflavus_W68_00025
group_367,,hypothetical protein,5,5,1,1,244,,,,2906,2912,2910,albidoflavus_J1074_00572,albidoflavus_J1074_R2_00647,albidoflavus_SM254_00578,albidoflavus_UYFA156_00085,albidoflavus_W68_00069
group_392,,hypothetical protein,5,5,1,1,835,,,,2453,2489,2471,albidoflavus_J1074_00064,albidoflavus_J1074_R2_00064,albidoflavus_SM254_00115,albidoflavus_UYFA156_00498,albidoflavus_W68_00434
ramR,,Response regulator RamR,5,5,1,1,641,,,,698,743,722,albidoflavus_J1074_00274,albidoflavus_J1074_R2_00276,albidoflavus_SM254_00276,albidoflavus_UYFA156_00362,albidoflavus_W68_00302
dltA_8,,D-alanine--D-alanyl carrier protein ligase,5,5,1,1,927,,,,9212,9281,9237,albidoflavus_J1074_00620,albidoflavus_J1074_R2_00695,albidoflavus_SM254_00627,albidoflavus_UYFA156_00035,albidoflavus_W68_00021
group_40,btuD_2,Vitamin B12 import ATP-binding protein BtuD,5,5,1,1,640,,,,746,1934,1694,albidoflavus_J1074_00275,albidoflavus_J1074_R2_00277,albidoflavus_SM254_00277,albidoflavus_UYFA156_00361,albidoflavus_W68_00301
lgrB_1,,Linear gramicidin synthase subunit B,5,5,1,1,451,,,,8726,17183,15489,albidoflavus_J1074_00339,albidoflavus_J1074_R2_00415,albidoflavus_SM254_00349,albidoflavus_UYFA156_00247,albidoflavus_W68_00218
TDO2,,hypothetical protein,5,5,1,1,232,,,,800,1637,1162,albidoflavus_J1074_00584,albidoflavus_J1074_R2_00659,albidoflavus_SM254_00590,albidoflavus_UYFA156_00073,albidoflavus_W68_00057
dltA_7,,D-alanine--D-alanyl carrier protein ligase,5,5,1,1,215,,,,8249,10760,10253,albidoflavus_J1074_00599,albidoflavus_J1074_R2_00674,albidoflavus_SM254_00606,albidoflavus_UYFA156_00057,albidoflavus_W68_00041
betI_1,,HTH-type transcriptional regulator BetI,5,5,1,1,992,,,,743,857,811,albidoflavus_J1074_00008,albidoflavus_J1074_R2_00008,albidoflavus_SM254_00641,albidoflavus_UYFA156_00019,albidoflavus_W68_00008
cpdA,,"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA",5,5,1,1,1020,,,,437,968,755,albidoflavus_J1074_00032,albidoflavus_J1074_R2_00032,albidoflavus_SM254_00082,albidoflavus_UYFA156_00536,albidoflavus_W68_00468
group_56,,hypothetical protein,5,5,1,1,842,,,,326,944,820,albidoflavus_J1074_00060,albidoflavus_J1074_R2_00060,albidoflavus_SM254_00111,albidoflavus_UYFA156_00502,albidoflavus_W68_00438
aguA,,Agmatine deiminase,5,5,1,1,695,,,,557,1079,974,albidoflavus_J1074_00212,albidoflavus_J1074_R2_00213,albidoflavus_SM254_00226,albidoflavus_UYFA156_00421,albidoflavus_W68_00356
yedK,,SOS response-associated protein YedK,5,5,1,1,680,,,,572,872,812,albidoflavus_J1074_00227,albidoflavus_J1074_R2_00228,albidoflavus_SM254_00241,albidoflavus_UYFA156_00404,albidoflavus_W68_00340
aam,,Acylamidase,5,5,1,1,669,,,,1367,1475,1409,albidoflavus_J1074_00236,albidoflavus_J1074_R2_00237,albidoflavus_SM254_00250,albidoflavus_UYFA156_00394,albidoflavus_W68_00331
btuD_2,,hypothetical protein,5,5,1,1,662,,,,461,1748,894,albidoflavus_J1074_00242,albidoflavus_J1074_R2_00243,albidoflavus_SM254_00256,albidoflavus_UYFA156_00388,albidoflavus_W68_00325
group_66,,hypothetical protein,5,5,1,1,656,,,,1340,2222,2045,albidoflavus_J1074_00249,albidoflavus_J1074_R2_00250,albidoflavus_SM254_00262,albidoflavus_UYFA156_00380,albidoflavus_W68_00317
ramA,,ABC transporter ATP-binding protein RamA,5,5,1,1,572,,,,1049,1895,1703,albidoflavus_J1074_00276,albidoflavus_J1074_R2_00278,albidoflavus_SM254_00278,albidoflavus_UYFA156_00358,albidoflavus_W68_00300
ramC_1,,putative SapB synthase,5,5,1,1,574,,,,1478,2579,2358,albidoflavus_J1074_00278,albidoflavus_J1074_R2_00280,albidoflavus_SM254_00280,albidoflavus_UYFA156_00355,albidoflavus_W68_00298
group_73,,hypothetical protein,5,5,1,1,581,,,,596,1955,1679,albidoflavus_J1074_00285,albidoflavus_J1074_R2_00287,albidoflavus_SM254_00287,albidoflavus_UYFA156_00347,albidoflavus_W68_00290
tilS,,tRNA(Ile)-lysidine synthase,5,5,1,1,473,,,,950,1238,1168,albidoflavus_J1074_00318,albidoflavus_J1074_R2_00394,albidoflavus_SM254_00328,albidoflavus_UYFA156_00271,albidoflavus_W68_00240
group_77,,hypothetical protein,5,5,1,1,458,,,,185,308,283,albidoflavus_J1074_00333,albidoflavus_J1074_R2_00409,albidoflavus_SM254_00343,albidoflavus_UYFA156_00256,albidoflavus_W68_00225
lgrD_2,,Linear gramicidin synthase subunit D,5,5,1,1,454,,,,7643,12398,11414,albidoflavus_J1074_00336,albidoflavus_J1074_R2_00412,albidoflavus_SM254_00346,albidoflavus_UYFA156_00254,albidoflavus_W68_00222
dltA_4,,D-alanine--D-alanyl carrier protein ligase,5,5,1,1,453,,,,21011,23075,22661,albidoflavus_J1074_00337,albidoflavus_J1074_R2_00413,albidoflavus_SM254_00347,albidoflavus_UYFA156_00252,albidoflavus_W68_00221
group_82,,hypothetical protein,5,5,1,1,303,,,,515,560,534,albidoflavus_J1074_00515,albidoflavus_J1074_R2_00590,albidoflavus_SM254_00522,albidoflavus_UYFA156_00157,albidoflavus_W68_00129
group_84,,hypothetical protein,5,5,1,1,276,,,,497,512,506,albidoflavus_J1074_00543,albidoflavus_J1074_R2_00618,albidoflavus_SM254_00549,albidoflavus_UYFA156_00130,albidoflavus_W68_00101
hmp,,Flavohemoprotein,5,5,1,1,265,,,,1238,1319,1302,albidoflavus_J1074_00554,albidoflavus_J1074_R2_00629,albidoflavus_SM254_00560,albidoflavus_UYFA156_00119,albidoflavus_W68_00090
group_87,,hypothetical protein,5,5,1,1,264,,,,722,1469,1289,albidoflavus_J1074_00555,albidoflavus_J1074_R2_00630,albidoflavus_SM254_00561,albidoflavus_UYFA156_00118,albidoflavus_W68_00089
fadA_2,,3-ketoacyl-CoA thiolase,5,5,1,1,256,,,,6434,16622,14583,albidoflavus_J1074_00561,albidoflavus_J1074_R2_00636,albidoflavus_SM254_00567,albidoflavus_UYFA156_00101,albidoflavus_W68_00080
menE,,2-succinylbenzoate--CoA ligase,5,5,1,1,251,,,,3500,5228,4882,albidoflavus_J1074_00565,albidoflavus_J1074_R2_00640,albidoflavus_SM254_00571,albidoflavus_UYFA156_00093,albidoflavus_W68_00076
suaB,,Ferredoxin-1,5,5,1,1,248,,,,194,194,194,albidoflavus_J1074_00568,albidoflavus_J1074_R2_00643,albidoflavus_SM254_00574,albidoflavus_UYFA156_00090,albidoflavus_W68_00073
hpt,,Hypoxanthine-guanine phosphoribosyltransferase,5,5,1,1,472,,,,539,539,539,albidoflavus_J1074_00319,albidoflavus_J1074_R2_00395,albidoflavus_SM254_00329,albidoflavus_UYFA156_00270,albidoflavus_W68_00239
folE,,GTP cyclohydrolase 1,5,5,1,1,470,,,,605,605,605,albidoflavus_J1074_00321,albidoflavus_J1074_R2_00397,albidoflavus_SM254_00331,albidoflavus_UYFA156_00268,albidoflavus_W68_00237
group_913,,hypothetical protein,5,5,1,1,909,,,,191,191,191,albidoflavus_J1074_00602,albidoflavus_J1074_R2_00677,albidoflavus_SM254_00609,albidoflavus_UYFA156_00052,albidoflavus_W68_00038
algU,,RNA polymerase sigma-H factor,5,5,1,1,217,,,,521,521,521,albidoflavus_J1074_00597,albidoflavus_J1074_R2_00672,albidoflavus_SM254_00604,albidoflavus_UYFA156_00059,albidoflavus_W68_00042
ectC,,L-ectoine synthase,5,5,1,1,413,,,,398,398,398,albidoflavus_J1074_00416,albidoflavus_J1074_R2_00492,albidoflavus_SM254_00426,albidoflavus_UYFA156_00211,albidoflavus_W68_00181
group_918,,hypothetical protein,5,5,1,1,357,,,,368,368,368,albidoflavus_J1074_00470,albidoflavus_J1074_R2_00546,albidoflavus_SM254_00479,albidoflavus_UYFA156_00200,albidoflavus_W68_00170
group_919,,putative protein/MSMEI_2713,5,5,1,1,769,,,,716,716,716,albidoflavus_J1074_00148,albidoflavus_J1074_R2_00148,albidoflavus_SM254_00163,albidoflavus_UYFA156_00453,albidoflavus_W68_00386
group_92,,hypothetical protein,5,5,1,1,243,,,,2384,3119,2950,albidoflavus_J1074_00573,albidoflavus_J1074_R2_00648,albidoflavus_SM254_00579,albidoflavus_UYFA156_00084,albidoflavus_W68_00068
gdx,,Guanidinium exporter,5,5,1,1,674,,,,323,323,323,albidoflavus_J1074_00231,albidoflavus_J1074_R2_00232,albidoflavus_SM254_00245,albidoflavus_UYFA156_00400,albidoflavus_W68_00336
ramS,,Lanthionine-containing peptide SapB precursor RamS,5,5,1,1,573,,,,131,131,131,albidoflavus_J1074_00277,albidoflavus_J1074_R2_00279,albidoflavus_SM254_00279,albidoflavus_UYFA156_00357,albidoflavus_W68_00299
lexA,,LexA repressor,5,5,1,1,721,,,,785,785,785,albidoflavus_J1074_00188,albidoflavus_J1074_R2_00188,albidoflavus_SM254_00201,albidoflavus_UYFA156_00449,albidoflavus_W68_00382
group_923,,hypothetical protein,5,5,1,1,643,,,,383,383,383,albidoflavus_J1074_00272,albidoflavus_J1074_R2_00274,albidoflavus_SM254_00274,albidoflavus_UYFA156_00364,albidoflavus_W68_00304
moaA,,"GTP 3',8-cyclase",5,5,1,1,821,,,,1022,1022,1022,albidoflavus_J1074_00083,albidoflavus_J1074_R2_00083,albidoflavus_SM254_00133,albidoflavus_UYFA156_00484,albidoflavus_W68_00415
btuD_1,,Vitamin B12 import ATP-binding protein BtuD,5,5,1,1,813,,,,797,797,797,albidoflavus_J1074_00091,albidoflavus_J1074_R2_00091,albidoflavus_SM254_00141,albidoflavus_UYFA156_00475,albidoflavus_W68_00407
group_926,,hypothetical protein,5,5,1,1,441,,,,947,947,947,albidoflavus_J1074_00349,albidoflavus_J1074_R2_00425,albidoflavus_SM254_00359,albidoflavus_UYFA156_00237,albidoflavus_W68_00208
group_927,,hypothetical protein,5,5,1,1,684,,,,992,992,992,albidoflavus_J1074_00223,albidoflavus_J1074_R2_00224,albidoflavus_SM254_00237,albidoflavus_UYFA156_00409,albidoflavus_W68_00344
group_928,,hypothetical protein,5,5,1,1,920,,,,587,587,587,albidoflavus_J1074_00613,albidoflavus_J1074_R2_00688,albidoflavus_SM254_00620,albidoflavus_UYFA156_00041,albidoflavus_W68_00027
rsgA,,Small ribosomal subunit biogenesis GTPase RsgA,5,5,1,1,675,,,,1016,1016,1016,albidoflavus_J1074_00230,albidoflavus_J1074_R2_00231,albidoflavus_SM254_00244,albidoflavus_UYFA156_00401,albidoflavus_W68_00337
group_930,,hypothetical protein,5,5,1,1,245,,,,1376,1376,1376,albidoflavus_J1074_00571,albidoflavus_J1074_R2_00646,albidoflavus_SM254_00577,albidoflavus_UYFA156_00086,albidoflavus_W68_00070
opuBB_2,,Choline transport system permease protein OpuBB,5,5,1,1,300,,,,683,683,683,albidoflavus_J1074_00518,albidoflavus_J1074_R2_00593,albidoflavus_SM254_00525,albidoflavus_UYFA156_00154,albidoflavus_W68_00126
group_932,,hypothetical protein,5,5,1,1,445,,,,797,797,797,albidoflavus_J1074_00345,albidoflavus_J1074_R2_00421,albidoflavus_SM254_00355,albidoflavus_UYFA156_00241,albidoflavus_W68_00212
group_933,,hypothetical protein,5,5,1,1,428,,,,524,524,524,albidoflavus_J1074_00402,albidoflavus_J1074_R2_00478,albidoflavus_SM254_00411,albidoflavus_UYFA156_00224,albidoflavus_W68_00195
group_934,,hypothetical protein,5,5,1,1,423,,,,602,605,603,albidoflavus_J1074_00407,albidoflavus_J1074_R2_00483,albidoflavus_SM254_00416,albidoflavus_UYFA156_00220,albidoflavus_W68_00190
lfrA_1,,Multidrug efflux pump LfrA,5,5,1,1,1000,,,,1556,1556,1556,albidoflavus_J1074_00013,albidoflavus_J1074_R2_00013,albidoflavus_SM254_00636,albidoflavus_UYFA156_00024,albidoflavus_W68_00013
def,,Peptide deformylase,5,5,1,1,685,,,,656,656,656,albidoflavus_J1074_00222,albidoflavus_J1074_R2_00223,albidoflavus_SM254_00236,albidoflavus_UYFA156_00410,albidoflavus_W68_00345
group_939,,hypothetical protein,5,5,1,1,919,,,,875,875,875,albidoflavus_J1074_00612,albidoflavus_J1074_R2_00687,albidoflavus_SM254_00619,albidoflavus_UYFA156_00042,albidoflavus_W68_00028
dltA_6,,D-alanine--D-alanyl carrier protein ligase,5,5,1,1,220,,,,833,8699,7124,albidoflavus_J1074_00595,albidoflavus_J1074_R2_00670,albidoflavus_SM254_00602,albidoflavus_UYFA156_00061,albidoflavus_W68_00045
group_945,,hypothetical protein,5,5,1,1,809,,,,1061,1061,1061,albidoflavus_J1074_00095,albidoflavus_J1074_R2_00095,albidoflavus_SM254_00145,albidoflavus_UYFA156_00471,albidoflavus_W68_00403
sigR,,ECF RNA polymerase sigma factor SigR,5,5,1,1,682,,,,845,845,845,albidoflavus_J1074_00225,albidoflavus_J1074_R2_00226,albidoflavus_SM254_00239,albidoflavus_UYFA156_00407,albidoflavus_W68_00342
group_949,,hypothetical protein,5,5,1,1,997,,,,587,587,587,albidoflavus_J1074_00010,albidoflavus_J1074_R2_00010,albidoflavus_SM254_00639,albidoflavus_UYFA156_00021,albidoflavus_W68_00010
group_95,,hypothetical protein,5,5,1,1,212,,,,611,1376,1194,albidoflavus_J1074_00600,albidoflavus_J1074_R2_00675,albidoflavus_SM254_00607,albidoflavus_UYFA156_00055,albidoflavus_W68_00040
ectB,,Diaminobutyrate--2-oxoglutarate transaminase,5,5,1,1,412,,,,1271,1271,1271,albidoflavus_J1074_00417,albidoflavus_J1074_R2_00493,albidoflavus_SM254_00427,albidoflavus_UYFA156_00210,albidoflavus_W68_00180
group_953,,"(2E,6E)-farnesyl diphosphate synthase",5,5,1,1,817,,,,1067,1067,1067,albidoflavus_J1074_00087,albidoflavus_J1074_R2_00087,albidoflavus_SM254_00137,albidoflavus_UYFA156_00480,albidoflavus_W68_00411
nrdB,,Ribonucleoside-diphosphate reductase subunit beta,5,5,1,1,688,,,,1052,1052,1052,albidoflavus_J1074_00219,albidoflavus_J1074_R2_00220,albidoflavus_SM254_00233,albidoflavus_UYFA156_00413,albidoflavus_W68_00348
aroA,,3-phosphoshikimate 1-carboxyvinyltransferase,5,5,1,1,676,,,,1352,1352,1352,albidoflavus_J1074_00229,albidoflavus_J1074_R2_00230,albidoflavus_SM254_00243,albidoflavus_UYFA156_00402,albidoflavus_W68_00338
rsrA,,Anti-sigma factor RsrA,5,5,1,1,683,,,,308,308,308,albidoflavus_J1074_00224,albidoflavus_J1074_R2_00225,albidoflavus_SM254_00238,albidoflavus_UYFA156_00408,albidoflavus_W68_00343
xylA,,Xylose isomerase,5,5,1,1,1033,,,,1166,1166,1166,albidoflavus_J1074_00050,albidoflavus_J1074_R2_00050,albidoflavus_SM254_00101,albidoflavus_UYFA156_00515,albidoflavus_W68_00447
nqo4,,NADH-quinone oxidoreductase subunit 4,5,5,1,1,433,,,,1142,1142,1142,albidoflavus_J1074_00357,albidoflavus_J1074_R2_00433,albidoflavus_SM254_00367,albidoflavus_UYFA156_00229,albidoflavus_W68_00200
group_961,,hypothetical protein,5,5,1,1,808,,,,752,752,752,albidoflavus_J1074_00096,albidoflavus_J1074_R2_00096,albidoflavus_SM254_00146,albidoflavus_UYFA156_00470,albidoflavus_W68_00402
glmS,,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],5,5,1,1,427,,,,1829,1829,1829,albidoflavus_J1074_00403,albidoflavus_J1074_R2_00479,albidoflavus_SM254_00412,albidoflavus_UYFA156_00223,albidoflavus_W68_00194
crtB_1,,Phytoene synthase,5,5,1,1,815,,,,950,956,953,albidoflavus_J1074_00089,albidoflavus_J1074_R2_00089,albidoflavus_SM254_00139,albidoflavus_UYFA156_00478,albidoflavus_W68_00409
acm,,Lysozyme M1,5,5,1,1,836,,,,884,884,884,albidoflavus_J1074_00063,albidoflavus_J1074_R2_00063,albidoflavus_SM254_00114,albidoflavus_UYFA156_00499,albidoflavus_W68_00435
czcD,,Metal cation efflux system protein CzcD,5,5,1,1,806,,,,938,938,938,albidoflavus_J1074_00098,albidoflavus_J1074_R2_00098,albidoflavus_SM254_00148,albidoflavus_UYFA156_00468,albidoflavus_W68_00400
bpoC,,Putative non-heme bromoperoxidase BpoC,5,5,1,1,443,,,,809,809,809,albidoflavus_J1074_00347,albidoflavus_J1074_R2_00423,albidoflavus_SM254_00357,albidoflavus_UYFA156_00239,albidoflavus_W68_00210
lcfB,,Long-chain-fatty-acid--CoA ligase,5,5,1,1,223,,,,1478,1478,1478,albidoflavus_J1074_00592,albidoflavus_J1074_R2_00667,albidoflavus_SM254_00599,albidoflavus_UYFA156_00064,albidoflavus_W68_00048
rppA,,"1,3,6,8-tetrahydroxynaphthalene synthase",5,5,1,1,302,,,,1097,1097,1097,albidoflavus_J1074_00516,albidoflavus_J1074_R2_00591,albidoflavus_SM254_00523,albidoflavus_UYFA156_00156,albidoflavus_W68_00128
gmd,,"GDP-mannose 4,6-dehydratase",5,5,1,1,262,,,,1034,1034,1034,albidoflavus_J1074_00557,albidoflavus_J1074_R2_00632,albidoflavus_SM254_00563,albidoflavus_UYFA156_00115,albidoflavus_W68_00087
desR,,Transcriptional regulatory protein DesR,5,5,1,1,437,,,,611,611,611,albidoflavus_J1074_00353,albidoflavus_J1074_R2_00429,albidoflavus_SM254_00363,albidoflavus_UYFA156_00233,albidoflavus_W68_00204
group_974,,hypothetical protein,5,5,1,1,294,,,,635,635,635,albidoflavus_J1074_00524,albidoflavus_J1074_R2_00599,albidoflavus_SM254_00531,albidoflavus_UYFA156_00148,albidoflavus_W68_00120
group_975,,hypothetical protein,5,5,1,1,811,,,,896,896,896,albidoflavus_J1074_00093,albidoflavus_J1074_R2_00093,albidoflavus_SM254_00143,albidoflavus_UYFA156_00473,albidoflavus_W68_00405
gsiC_2,,Glutathione transport system permease protein GsiC,5,5,1,1,289,,,,1001,1001,1001,albidoflavus_J1074_00529,albidoflavus_J1074_R2_00604,albidoflavus_SM254_00536,albidoflavus_UYFA156_00143,albidoflavus_W68_00115
xylB,,Xylulose kinase,5,5,1,1,1034,,,,1430,1430,1430,albidoflavus_J1074_00051,albidoflavus_J1074_R2_00051,albidoflavus_SM254_00102,albidoflavus_UYFA156_00514,albidoflavus_W68_00446
group_981,,putative protein,5,5,1,1,1022,,,,482,482,482,albidoflavus_J1074_00042,albidoflavus_J1074_R2_00042,albidoflavus_SM254_00084,albidoflavus_UYFA156_00534,albidoflavus_W68_00466
group_982,,hypothetical protein,5,5,1,1,646,,,,524,524,524,albidoflavus_J1074_00269,albidoflavus_J1074_R2_00271,albidoflavus_SM254_00271,albidoflavus_UYFA156_00367,albidoflavus_W68_00307
group_983,,hypothetical protein,5,5,1,1,800,,,,806,806,806,albidoflavus_J1074_00104,albidoflavus_J1074_R2_00104,albidoflavus_SM254_00154,albidoflavus_UYFA156_00462,albidoflavus_W68_00395
mqnD,,"1,4-dihydroxy-6-naphtoate synthase",5,5,1,1,644,,,,893,899,896,albidoflavus_J1074_00271,albidoflavus_J1074_R2_00273,albidoflavus_SM254_00273,albidoflavus_UYFA156_00365,albidoflavus_W68_00305
group_985,,Carnitine monooxygenase oxygenase subunit,5,5,1,1,926,,,,1178,1178,1178,albidoflavus_J1074_00619,albidoflavus_J1074_R2_00694,albidoflavus_SM254_00626,albidoflavus_UYFA156_00036,albidoflavus_W68_00022
dasR,,HTH-type transcriptional repressor DasR,5,5,1,1,692,,,,788,788,788,albidoflavus_J1074_00215,albidoflavus_J1074_R2_00216,albidoflavus_SM254_00229,albidoflavus_UYFA156_00417,albidoflavus_W68_00352
group_987,,hypothetical protein,5,5,1,1,801,,,,215,215,215,albidoflavus_J1074_00103,albidoflavus_J1074_R2_00103,albidoflavus_SM254_00153,albidoflavus_UYFA156_00463,albidoflavus_W68_00396
fadA_3,,3-ketoacyl-CoA thiolase,5,5,1,1,255,,,,19727,31895,29453,albidoflavus_J1074_00562,albidoflavus_J1074_R2_00637,albidoflavus_SM254_00568,albidoflavus_UYFA156_00099,albidoflavus_W68_00079
group_991,,hypothetical protein,5,5,1,1,233,,,,2297,2309,2304,albidoflavus_J1074_00583,albidoflavus_J1074_R2_00658,albidoflavus_SM254_00589,albidoflavus_UYFA156_00074,albidoflavus_W68_00058
ppaT,,Pyridoxamine--pyruvate transaminase,5,5,1,1,410,,,,1115,1127,1119,albidoflavus_J1074_00419,albidoflavus_J1074_R2_00495,albidoflavus_SM254_00429,albidoflavus_UYFA156_00208,albidoflavus_W68_00178
ptsH,,Phosphocarrier protein HPr,5,5,1,1,1016,,,,278,278,278,albidoflavus_J1074_00028,albidoflavus_J1074_R2_00028,albidoflavus_SM254_00078,albidoflavus_UYFA156_00540,albidoflavus_W68_00472
group_994,,hypothetical protein,5,5,1,1,235,,,,1199,1199,1199,albidoflavus_J1074_00581,albidoflavus_J1074_R2_00656,albidoflavus_SM254_00587,albidoflavus_UYFA156_00076,albidoflavus_W68_00060
group_995,,hypothetical protein,5,5,1,1,776,,,,1364,1364,1364,albidoflavus_J1074_00141,albidoflavus_J1074_R2_00141,albidoflavus_SM254_00158,albidoflavus_UYFA156_00458,albidoflavus_W68_00391
ectA,,"L-2,4-diaminobutyric acid acetyltransferase",5,5,1,1,411,,,,506,506,506,albidoflavus_J1074_00418,albidoflavus_J1074_R2_00494,albidoflavus_SM254_00428,albidoflavus_UYFA156_00209,albidoflavus_W68_00179
group_997,,hypothetical protein,5,5,1,1,242,,,,2828,2828,2828,albidoflavus_J1074_00574,albidoflavus_J1074_R2_00649,albidoflavus_SM254_00580,albidoflavus_UYFA156_00083,albidoflavus_W68_00067
group_998,,hypothetical protein,5,5,1,1,714,,,,1217,1217,1217,albidoflavus_J1074_00194,albidoflavus_J1074_R2_00194,albidoflavus_SM254_00207,albidoflavus_UYFA156_00442,albidoflavus_W68_00376
dppC,,Dipeptide transport system permease protein DppC,5,5,1,1,288,,,,860,869,867,albidoflavus_J1074_00530,albidoflavus_J1074_R2_00605,albidoflavus_SM254_00537,albidoflavus_UYFA156_00142,albidoflavus_W68_00114
